DEAL_ID,STAGE_CREATED_AT,PIPELINE_ID,PIPELINE_NAME,DEAL_STAGE_ID,STAGE_NAME,STAGE_DISPLAY_ORDER
13522770094,2023-06-24T22:21:25.538Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13523026451,2023-06-15T14:13:44.671Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13523026451,2023-05-31T20:16:59.539Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13523213933,2023-06-01T08:23:28.935Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13525845022,2023-08-23T14:47:02.382Z,default,Mid Market Pipeline,41151bc6-cfe7-4870-9c8b-25ca0d045e54,Closed Won,10
13525845022,2023-07-07T17:40:28.282Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13525845022,2023-06-12T17:24:20.206Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13525845022,2023-05-31T20:25:26.279Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13526766375,2023-12-12T16:11:37.802Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13532511517,2023-09-18T10:12:23.081Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13532511517,2023-06-02T14:24:46.357Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13540077224,2023-06-29T14:42:50.253Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13540077224,2023-06-06T13:35:10.443Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13541682076,2023-10-25T13:22:16.889Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13541682076,2023-08-24T15:01:40.941Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13541682076,2023-08-24T09:23:16.616Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13541682076,2023-06-01T19:51:01.687Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13546806694,2023-09-14T09:24:42.958Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13546806694,2023-06-05T16:26:15.818Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13549384980,2023-08-11T16:12:26.173Z,default,Mid Market Pipeline,41151bc6-cfe7-4870-9c8b-25ca0d045e54,Closed Won,10
13549384980,2023-07-17T16:08:23.745Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13549384980,2023-06-26T14:42:45.252Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
13549384980,2023-06-26T14:42:29.967Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13549384980,2023-06-12T14:27:59.702Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13549384980,2023-06-02T14:28:15.742Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13549708943,2023-11-28T12:28:46.435Z,default,Mid Market Pipeline,41151bc6-cfe7-4870-9c8b-25ca0d045e54,Closed Won,10
