DEAL_ID,PIPELINE_ID,PIPELINE_NAME,STAGE_NAME,AMOUNT_IN_HOME_CURRENCY,CREATED_AT,CLOSE_DATE,DEAL_SOURCE_TYPE
13380478509,default,Mid Market Pipeline,Closed Lost,,2023-05-18T18:32:49.047Z,2023-05-30T16:59:13.634Z,Website
13424339363,default,Mid Market Pipeline,Closed Lost,0,2023-05-23T15:09:37.002Z,2023-07-24T13:40:54.667Z,PPC / Paid Advertising
13431080742,default,Mid Market Pipeline,Closed Lost,,2023-05-24T08:15:20.349Z,2023-07-06T16:36:11.837Z,Social
13434822801,default,Mid Market Pipeline,Closed Lost,14100,2023-05-24T14:58:49.696Z,2023-09-19T14:23:35.803Z,PPC / Paid Advertising
13436367624,default,Mid Market Pipeline,Closed Lost,10600,2023-05-24T18:17:13.875Z,2023-09-04T15:34:01.398Z,PPC / Paid Advertising
13442006540,default,Mid Market Pipeline,Closed Lost,,2023-05-25T08:10:51.543Z,2023-05-30T15:10:52.569Z,Website
13505638670,default,Mid Market Pipeline,Closed Lost,0,2023-05-11T12:04:01.882Z,2023-05-30T23:47:21.189Z,Sales Outbound
13522770094,default,Mid Market Pipeline,Closed Lost,,2023-05-31T12:04:28.196Z,2023-07-10T13:19:30.624Z,Sales Outbound
13523026451,default,Mid Market Pipeline,Qualified,12430,2023-05-31T12:51:58.179Z,2024-03-31T13:24:17.067Z,Referrals
13540077224,default,Mid Market Pipeline,Closed Lost,,2023-06-01T17:21:24.864Z,2023-06-29T14:42:52.461Z,Website
13541682076,default,Mid Market Pipeline,Closed Lost,12915,2023-06-01T18:44:00.315Z,2023-10-25T13:22:20.362Z,Website
13546806694,default,Mid Market Pipeline,Qualified,10600,2023-06-02T01:21:07.058Z,2024-01-31T16:20:25.878Z,Website
13603197048,default,Mid Market Pipeline,Closed Lost,35000,2023-06-06T17:40:29.893Z,2023-10-31T17:46:29.743Z,Website
13673020674,default,Mid Market Pipeline,Closed Won,10100,2023-06-12T06:14:49.411Z,2023-08-09T10:52:14.438Z,Website
13693969803,default,Mid Market Pipeline,Closed Lost,,2023-06-13T19:41:05.311Z,2023-06-21T21:25:19.47Z,Website
13790846058,default,Mid Market Pipeline,Closed Lost,,2023-06-20T09:13:46.238Z,2023-07-19T08:44:31.367Z,Website
13796004099,default,Mid Market Pipeline,Closed Lost,,2023-06-20T18:27:54.327Z,2023-06-22T09:37:18.407Z,PPC / Paid Advertising
13831947574,default,Mid Market Pipeline,Closed Lost,,2023-06-23T14:29:51.82Z,2023-07-24T15:37:04.502Z,Sales Outbound
13850366788,default,Mid Market Pipeline,Closed Lost,8246,2023-06-24T23:08:04.571Z,2023-07-27T19:13:48.259Z,Sales Outbound
13863825209,default,Mid Market Pipeline,Closed Lost,14350,2023-06-26T08:53:49.723Z,2023-10-17T21:26:13.976Z,Website
13864553221,default,Mid Market Pipeline,Discovery,,2023-06-26T11:16:46.333Z,,Sales Outbound
13884576787,default,Mid Market Pipeline,Closed Lost,3960,2023-06-27T14:26:25.549Z,2024-01-29T19:29:56.68Z,PPC / Paid Advertising
13896627717,default,Mid Market Pipeline,Closed Lost,,2023-06-28T11:08:11.178Z,2023-08-09T15:33:56.954Z,Sales Outbound
13900825422,default,Mid Market Pipeline,Closed Lost,,2023-06-28T17:23:13.843Z,2023-07-11T20:10:25.796Z,Website
13725299819,default,Mid Market Pipeline,Closed Lost,13680,2023-06-15T14:26:14.248Z,2023-12-20T12:32:01.597Z,Website
13928160612,default,Mid Market Pipeline,Proof of Value,18600,2023-06-30T18:31:06.046Z,2024-03-31T17:19:26.064Z,Tradeshows and Events
13969890953,default,Mid Market Pipeline,Closed Lost,11600,2023-07-04T17:29:02.923Z,2023-11-20T15:49:04.955Z,PPC / Paid Advertising
14001059917,default,Mid Market Pipeline,Keep Warm,,2023-07-07T01:41:08.56Z,2023-07-21T01:41:08.089Z,PPC / Paid Advertising
14034065496,default,Mid Market Pipeline,Qualified,10600,2023-07-09T17:51:35.925Z,2024-03-31T09:40:33.905Z,Website
14084113723,default,Mid Market Pipeline,Keep Warm,8680,2023-07-12T17:34:54.983Z,2024-02-29T13:04:01.085Z,Sales Outbound
14193525839,default,Mid Market Pipeline,Proposal/Pricing,21000,2023-07-17T13:49:16.332Z,2024-02-29T12:55:08.109Z,Sales Outbound
